"indicator","avg_debt"
"DT.DIS.MLAT.CD",839843678.6158333
"DT.DIS.PROP.CD",81135160.7
"DT.AMT.PCBK.CD",734868742.6011904
"DT.INT.PCBK.CD",156647613.05595237
"DT.DIS.PCBK.CD",293305195.59411764
"DT.INT.DLXF.CD",1644024067.6508064
"DT.AMT.PBND.CD",1082623947.653623
"DT.AMT.OFFT.CD",1191187963.0830643
"DT.INT.BLAT.CD",164093285.6090164
"DT.AMT.BLAT.CD",712619634.659836
"DT.DIS.DLXF.CD",2152041216.890244
"DT.INT.PRVT.CD",719740180.0887755
"DT.AMT.DLXF.CD",5904868401.499193
"DT.INT.OFFT.CD",297677338.9572581
"DT.AMT.PRVT.CD",1803694101.9632652
"DT.INT.DPNG.CD",1220410844.4215188
"DT.INT.MLAT.CD",136230719.24516127
"DT.INT.PROP.CD",34250651.23518518
"DT.AMT.PROP.CD",746888800.4777777
"DT.AMT.MLAT.CD",490062193.4983871
"DT.DIS.BLAT.CD",1223139290.39823
"DT.DIS.PRVT.CD",311323264.69056606
"DT.DIS.OFFT.CD",1958983452.859836
"DT.INT.PBND.CD",804733376.5985507
"DT.AMT.DPNG.CD",5161194333.812657